work_key,title,authors,subjects,first_publish_year,cover_url
/works/OL66554W,Pride and Prejudice,Jane Austen,"Fiction, Romance, Historical, Regency, British and Irish fiction (fictional works by one author), Brothers and sisters, Courtship, Drama, English fiction, English literature, Families, Family, Family life, Family relations, Fiction Classics, History, Interpersonal relations, Literary Fiction, Love stories, manners, Manners and customs, marriage, Sisters",1813,https://covers.openlibrary.org/b/id/14348537-L.jpg
/works/OL138052W,Alice's Adventures in Wonderland,Lewis Carroll,"Alice (fictitious character : carroll), fiction, British and irish fiction (fictional works by one author), Fiction, fantasy, general, JUVENILE FICTION, classics, Fantasy & Magic, Imagination & Play, adventure and adventurers, adventure and adventurers, fiction, adventure stories, adventure travel, animals, anthropomorphism, artists' illustrated books, books and reading, child and youth fiction, children, children's fiction, children's literature, children's literature, english",1865,https://covers.openlibrary.org/b/id/10527843-L.jpg
/works/OL8193416W,The Picture of Dorian Gray,Oscar Wilde,"British and irish fiction (fictional works by one author), Conduct of life, fiction, Fantasy fiction, Children's fiction, Appearance (Philosophy), Fiction, Conduct of life, Youthfulness, Portraits, Apparence (Philosophie), Romans, nouvelles, Morale pratique, Juvénilité, General, Horror, Education, English literature, England, fiction, Fiction, general, Comics & graphic novels, fantasy",1890,https://covers.openlibrary.org/b/id/14314858-L.jpg
/works/OL21177W,Wuthering Heights,Emily Brontë,"British and irish fiction (fictional works by one author), Children's fiction, Classic fiction, Classic Literature, Country homes, Country life, Cousins, Death, Drama, English language, English language readers, English literature, Examinations, Families, family life, Fiction, Foundlings, Historical Fiction, Inheritance and succession, Interpersonal relations",1846,https://covers.openlibrary.org/b/id/12818862-L.jpg
/works/OL8193497W,A Christmas Carol,Charles Dickens,"Ghost stories, Readers, Ebenzer Scrooge (Fictitious character), open_syllabus_project, Cartoons and comics, Promptbooks, Christmas stories, French language books, Poor families, Navidad, Esperanto, Sick children, French language, Repentance, Criticism and interpretation, Facsimiles, Christmas, English Manuscripts, English Christmas stories, Fiction,",1843,https://covers.openlibrary.org/b/id/13299222-L.jpg
/works/OL53908W,Adventures of Huckleberry Finn,Mark Twain,"adventure and adventurers, Adventure stories, American fiction (fictional works by one author), American literature, Boys, Child and youth fiction, Children's fiction, child witnesses, Courtship, English language, friendship, Fugitive slaves, history, humor, Humorous stories, Juvenile fiction, juvenile literature, literature, Loyalty, Male friendship",1876,https://covers.openlibrary.org/b/id/8157718-L.jpg
/works/OL66513W,Emma,Jane Austen,"Social life and customs, Mate selection, Fiction, Fathers and daughters, open_syllabus_project, Historical Fiction, Female friendship, Young women, Classic Literature, Love stories, English, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Manners and customs, British and irish fiction (fictional works by one author), England, fiction, Woodhouse, emma (fictitious character), fiction",1815,https://covers.openlibrary.org/b/id/9278312-L.jpg
/works/OL8193478W,Oliver Twist,Charles Dickens,"Bildungsromans, Boys, Brigands and robbers, British and irish fiction (fictional works by one author), British fiction, Children, Children's fiction, Children's stories, Classic, Coming of age, Criminals, Criminels, Criticism and interpretation, Customs, Enfants pauvres, English language, English literature, Fiction, fiction classics, Historical fiction",1822,https://covers.openlibrary.org/b/id/13300802-L.jpg
/works/OL450063W,Frankenstein or The Modern Prometheus,Mary Shelley,"Frankenstein (Fictitious character), Frankenstein's monster (Fictitious character), Fiction, Victor Frankenstein (Fictitious character), Scientists, Monsters, Fiction, horror, Frankenstein (fictitious character), fiction, Physicians, fiction, British fiction (fictional works by one author), Scientists, fiction, Geneva (Switzerland), fiction, Children's fiction, Horror stories, Fiction, science fiction, general, Fiction, general, Horror tales, Frankenstein (Shelley, Mary Wollstonecraft), Large type books, English fiction",1818,https://covers.openlibrary.org/b/id/12356249-L.jpg
/works/OL8193465W,A Tale of Two Cities,Charles Dickens,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction, English literature, Executions and executioners, Fathers and daughters, Fiction, classics, Histoire, Historia, Historical fiction, History, Juvenile fiction, Lookalikes, Novela, Novela inglesa, Padre e hija, Pères et filles",1800,https://covers.openlibrary.org/b/id/13301713-L.jpg
